frame_name,true_count,detected_count,Mean_Error
frames/seq_000051.jpg,17,13,4
frames/seq_000058.jpg,22,10,12
frames/seq_000062.jpg,18,10,8
frames/seq_000066.jpg,24,12,12
frames/seq_000072.jpg,26,19,7
frames/seq_000076.jpg,20,13,7
frames/seq_000080.jpg,17,11,6
frames/seq_000085.jpg,16,11,5
frames/seq_000091.jpg,18,11,7
frames/seq_000094.jpg,18,10,8
frames/seq_000100.jpg,31,19,12
frames/seq_000107.jpg,31,22,9
frames/seq_000112.jpg,23,16,7
frames/seq_000118.jpg,27,23,4
frames/seq_000123.jpg,25,20,5
frames/seq_000127.jpg,32,21,11
frames/seq_000132.jpg,29,20,9
frames/seq_000138.jpg,26,14,12
frames/seq_000144.jpg,26,16,10
frames/seq_000150.jpg,24,16,8
frames/seq_000157.jpg,24,12,12
frames/seq_000163.jpg,26,15,11
frames/seq_000168.jpg,23,14,9
frames/seq_000174.jpg,18,10,8
frames/seq_000181.jpg,20,14,6
frames/seq_000187.jpg,25,21,4
frames/seq_000193.jpg,22,15,7
frames/seq_000198.jpg,24,17,7
frames/seq_000205.jpg,23,15,8
frames/seq_000212.jpg,21,15,6
frames/seq_000219.jpg,24,16,8
frames/seq_000225.jpg,21,12,9
frames/seq_000231.jpg,20,14,6
frames/seq_000236.jpg,28,14,14
frames/seq_000242.jpg,25,14,11
frames/seq_000247.jpg,18,13,5
frames/seq_000253.jpg,19,11,8
frames/seq_000259.jpg,21,14,7
frames/seq_000264.jpg,25,16,9
frames/seq_000270.jpg,29,21,8
frames/seq_000276.jpg,28,18,10
frames/seq_000283.jpg,22,14,8
frames/seq_000289.jpg,26,15,11
frames/seq_000294.jpg,31,18,13
frames/seq_000300.jpg,28,16,12
frames/seq_000307.jpg,23,11,12
frames/seq_000314.jpg,16,6,10
frames/seq_000320.jpg,13,7,6
frames/seq_000333.jpg,19,9,10
frames/seq_000347.jpg,27,16,11
,,Mean Absolute Error:,8.58
