Detection Type,Frame,Ground Truth,Detections,True Positives (TP),False Positives (FP),False Negatives (FN),Precision,Recall,F1,Mean F1,
Faster R-CNN,seq_000058,22,10,10,0,12,1.000,0.455,0.625,0.706,
Faster R-CNN,seq_000072,26,19,18,1,8,0.947,0.692,0.800,0.706,
Faster R-CNN,seq_000080,17,11,10,1,7,0.909,0.588,0.714,0.706,
Faster R-CNN,seq_000100,31,19,19,0,12,1.000,0.613,0.760,0.706,
Faster R-CNN,seq_000112,23,16,16,0,7,1.000,0.696,0.821,0.706,
Faster R-CNN,seq_000118,27,23,21,2,6,0.913,0.778,0.840,0.706,
Faster R-CNN,seq_000138,26,14,13,1,13,0.929,0.500,0.650,0.706,
Faster R-CNN,seq_000157,24,11,10,1,14,0.909,0.417,0.571,0.706,
Faster R-CNN,seq_000168,23,14,13,1,10,0.929,0.565,0.703,0.706,
Faster R-CNN,seq_000174,18,9,7,2,11,0.778,0.389,0.519,0.706,
Faster R-CNN,seq_000193,22,14,13,1,9,0.929,0.591,0.722,0.706,
Faster R-CNN,seq_000212,21,14,14,0,7,1.000,0.667,0.800,0.706,
Faster R-CNN,seq_000231,20,12,12,0,8,1.000,0.600,0.750,0.706,
Faster R-CNN,seq_000236,28,13,13,0,15,1.000,0.464,0.634,0.706,
Faster R-CNN,seq_000247,18,13,12,1,6,0.923,0.667,0.774,0.706,
Faster R-CNN,seq_000264,25,15,13,2,12,0.867,0.520,0.650,0.706,
Faster R-CNN,seq_000283,22,15,14,1,8,0.933,0.636,0.757,0.706,
Faster R-CNN,seq_000300,28,17,16,1,12,0.941,0.571,0.711,0.706,
Faster R-CNN,seq_000320,13,7,6,1,7,0.857,0.462,0.600,0.706,
Faster R-CNN,seq_000347,27,15,15,0,12,1.000,0.556,0.714,0.706,
HOG,seq_000058,22,4,1,3,21,0.250,0.045,0.077,0.403,
HOG,seq_000072,26,11,10,1,16,0.909,0.385,0.541,0.403,HOG,seq_000080,17,6,4,2,13,0.667,0.235,0.348,0.403,
HOG,seq_000100,31,10,10,0,21,1.000,0.323,0.488,0.403,
HOG,seq_000112,23,7,7,0,16,1.000,0.304,0.467,0.403,
HOG,seq_000118,27,12,11,1,16,0.917,0.407,0.564,0.403,
HOG,seq_000138,26,8,7,1,19,0.875,0.269,0.412,0.403,
HOG,seq_000157,24,5,3,2,21,0.600,0.125,0.207,0.403,
HOG,seq_000168,23,9,7,2,16,0.778,0.304,0.437,0.403,
HOG,seq_000174,18,7,5,2,13,0.714,0.278,0.400,0.403,
HOG,seq_000193,22,7,6,1,16,0.857,0.273,0.414,0.403,
HOG,seq_000212,21,9,7,2,14,0.778,0.333,0.467,0.403,
HOG,seq_000231,20,5,5,0,15,1.000,0.250,0.400,0.403,
HOG,seq_000236,28,7,4,3,24,0.571,0.143,0.229,0.403,
HOG,seq_000247,18,6,5,1,13,0.833,0.278,0.417,0.403,
HOG,seq_000264,25,7,7,0,18,1.000,0.280,0.438,0.403,
HOG,seq_000283,22,5,3,2,19,0.600,0.136,0.222,0.403,
HOG,seq_000300,28,11,11,0,17,1.000,0.393,0.564,0.403,
HOG,seq_000320,13,5,5,0,8,1.000,0.385,0.556,0.403,
HOG,seq_000347,27,7,7,0,20,1.000,0.259,0.412,0.403,
YOLO,seq_000058,22,15,14,1,8,0.933,0.636,0.757,0.714,
YOLO,seq_000072,26,18,18,0,8,1.000,0.692,0.818,0.714,
YOLO,seq_000080,17,12,10,2,7,0.833,0.588,0.690,0.714,
YOLO,seq_000100,31,17,17,0,14,1.000,0.548,0.708,0.714,
YOLO,seq_000112,23,16,16,0,7,1.000,0.696,0.821,0.714,
YOLO,seq_000118,27,17,17,0,10,1.000,0.630,0.773,0.714,
YOLO,seq_000138,26,12,11,1,15,0.917,0.423,0.579,0.714,
YOLO,seq_000157,24,13,13,0,11,1.000,0.542,0.703,0.714,
YOLO,seq_000168,23,13,13,0,10,1.000,0.565,0.722,0.714,
YOLO,seq_000174,18,9,8,1,10,0.889,0.444,0.593,0.714,
YOLO,seq_000193,22,14,14,0,8,1.000,0.636,0.778,0.714,
YOLO,seq_000212,21,12,12,0,9,1.000,0.571,0.727,0.714,
YOLO,seq_000231,20,12,12,0,8,1.000,0.600,0.750,0.714,
YOLO,seq_000236,28,12,12,0,16,1.000,0.429,0.600,0.714,
YOLO,seq_000247,18,12,12,0,6,1.000,0.667,0.800,0.714,
YOLO,seq_000264,25,13,13,0,12,1.000,0.520,0.684,0.714,
YOLO,seq_000283,22,14,13,1,9,0.929,0.591,0.722,0.714,
YOLO,seq_000300,28,16,15,1,13,0.938,0.536,0.682,0.714,
YOLO,seq_000320,13,7,6,1,7,0.857,0.462,0.600,0.714,
YOLO,seq_000347,27,17,17,0,10,1.000,0.630,0.773,0.714,
